,filename,class
0,0__0aad64567664f31b63fe4a5041fd9b89-graffiti-pictures-science_jpg.rf.32170302ed7e53f7e61bf14c4151f51b.jpg,0
1,0__0aad64567664f31b63fe4a5041fd9b89-graffiti-pictures-science_jpg.rf.52a3cd8d999088d6da81a6bd091e11b6.jpg,0
2,0__0aad64567664f31b63fe4a5041fd9b89-graffiti-pictures-science_jpg.rf.630b9e12ec002902212beb452e69aa0e.jpg,0
3,0__0aad64567664f31b63fe4a5041fd9b89-graffiti-pictures-science_jpg.rf.78df389c6d316e23c49d1e05b01367c8.jpg,0
4,0__0aad64567664f31b63fe4a5041fd9b89-graffiti-pictures-science_jpg.rf.8e143998a3c896d85bc8d727580d71f8.jpg,0
5,0__0aad64567664f31b63fe4a5041fd9b89-graffiti-pictures-science_jpg.rf.9ca84f448d06d08473bba0c12a9d2f6e.jpg,0
6,0__0aad64567664f31b63fe4a5041fd9b89-graffiti-pictures-science_jpg.rf.c2c4f8a2c8b6f586cb5b508650499143.jpg,0
7,0__0aad64567664f31b63fe4a5041fd9b89-graffiti-pictures-science_jpg.rf.cabe8fed095dfd638dad98ce227c59b0.jpg,0
8,0__0aad64567664f31b63fe4a5041fd9b89-graffiti-pictures-science_jpg.rf.e7684fc54cf69783874850ec11a437f5.jpg,0
9,0__0aad64567664f31b63fe4a5041fd9b89-graffiti-pictures-science_jpg.rf.ecdb11059c35eee557b9ef9a6849be64.jpg,0
10,0__0aad64567664f31b63fe4a5041fd9b89-graffiti-pictures-science_jpg.rf.f278142cb89b5539f21484b1b79255fc.jpg,0
11,0__0_Screenshot-156_result_jpg.rf.2b72c62c3ff3d9f79d3a4ebe9c61552d.jpg,0
12,0__0_Screenshot-156_result_jpg.rf.56f4c2f40e12790ba426dea78b137723.jpg,0
13,0__0_Screenshot-156_result_jpg.rf.927cdeb4eda4617eb32b2d3fa09a2ef0.jpg,0
14,0__0_Screenshot-156_result_jpg.rf.95927be8ef41d6140bb501a256cffd9b.jpg,0
15,0__0_Screenshot-156_result_jpg.rf.a0e8696353e7255546241026a6c6d215.jpg,0
16,0__0_Screenshot-156_result_jpg.rf.a49f8ddfadd9c43a5aadd76f3065098a.jpg,0
17,0__0_Screenshot-156_result_jpg.rf.a7eb0b315dae86827e3c1af1c8e5a580.jpg,0
18,0__0_Screenshot-156_result_jpg.rf.b4d273480ef892ef08837518a28aa81e.jpg,0
19,0__0_Screenshot-156_result_jpg.rf.c5c7960c1b36830362115f0041509034.jpg,0
20,0__0_Screenshot-156_result_jpg.rf.d60786bc8abddb671accac356e94f496.jpg,0
21,0__0_Screenshot-156_result_jpg.rf.e7875969c050a31e5a84e85bf8f2e547.jpg,0
22,0__1343_jpg.rf.07566e8332c0aefd56804ef303eb5333.jpg,0
23,0__1343_jpg.rf.16e7d69226b2cd09a6d0a085b966a79e.jpg,0
24,0__1343_jpg.rf.1de357f8b59bd04fa432e5774bcd74c1.jpg,0
25,0__1343_jpg.rf.7610fe4359434dd71ceb4254be93c294.jpg,0
26,0__1343_jpg.rf.7c86baea5cb1bfc26cf406e9ebb1984b.jpg,0
27,0__1343_jpg.rf.8137414b81bcda16869bba272c9e4bc7.jpg,0
28,0__1343_jpg.rf.97d6968bc588f34926d299acbd5864d0.jpg,0
29,0__1343_jpg.rf.a417604be9c714d8de47fb3bcb1ff3f7.jpg,0
30,0__1343_jpg.rf.c77bc942fecfbb1205a55fd1247ccae4.jpg,0
31,0__1361_jpg.rf.2dc11b2df7b1f4c23f477f265f52b197.jpg,0
32,0__1361_jpg.rf.34223e3a3e17b1379554e3d23a238694.jpg,0
33,0__1361_jpg.rf.49de342e5fe6858932db34ec31b20b88.jpg,0
34,0__1361_jpg.rf.4ad1c975546629e553abcd54f217c736.jpg,0
35,0__1361_jpg.rf.4fec97349aebf8edd1d2ffd38063b27d.jpg,0
36,0__1361_jpg.rf.54a43e0c83bff5cd6cd9ae999c827242.jpg,0
37,0__1361_jpg.rf.86320ad531d2e21100501917a38b5e59.jpg,0
38,0__1361_jpg.rf.abd9f63059be869828168d450c26f872.jpg,0
39,0__1361_jpg.rf.ace1fefc24b1baacc7adcfaf5c653e36.jpg,0
40,0__1361_jpg.rf.ba08a94a00b16991cde7b13d54af2ee3.jpg,0
41,0__1361_jpg.rf.f8239963f0b14c9b1c15708cb61b5e0e.jpg,0
42,0__1363_jpg.rf.0022552abd11e3e296f415e91f01f04e.jpg,0
43,0__1363_jpg.rf.256c523705f3953d6b2e1dbc7c7398c8.jpg,0
44,0__1363_jpg.rf.2dd82aa0ceb9897030058beef18c0924.jpg,0
45,0__1363_jpg.rf.33f924ababffa6b158756bb5ae33915d.jpg,0
46,0__1363_jpg.rf.36c059b0be19f2b9162654f63df3a888.jpg,0
47,0__1363_jpg.rf.5a5323a4627c7817353201a2179a9de9.jpg,0
48,0__1363_jpg.rf.7a8e806cc004f8042c876d85d7910b90.jpg,0
49,0__1363_jpg.rf.9585c6d82e983f86e555ed32db6f482e.jpg,0
50,0__1363_jpg.rf.ab8a52c42461b9b120a9f960ef39a2a7.jpg,0
51,0__1363_jpg.rf.afc6d6014a1f0d97c46c0bcf12d89eb4.jpg,0
52,0__1363_jpg.rf.d51c06407cbc3c3112cbe2b2f2402ad5.jpg,0
53,0__1365_jpg.rf.0035c84dd9a020bb0f89e195bdaf3573.jpg,0
54,0__1365_jpg.rf.01cbcd5c99b3cae5aa2f1ed6025419af.jpg,0
55,0__1365_jpg.rf.2f4bed8fb818acdc5c8610932712b620.jpg,0
56,0__1365_jpg.rf.4a247a83cf9f05ce092e48e6abd9d429.jpg,0
57,0__1365_jpg.rf.71c840d099c0c798a0e025bdd265f256.jpg,0
58,0__1365_jpg.rf.734a725fc0765a017ca7d351551f71f8.jpg,0
59,0__1365_jpg.rf.89445b199fe4e84db52cabe7c39ffe09.jpg,0
60,0__1365_jpg.rf.a158f9168f36c3fbf72c82c2f053a081.jpg,0
61,0__1365_jpg.rf.ddc14c642bff389065526005cc237556.jpg,0
62,0__1365_jpg.rf.e2030e267076bde324ebb60331b1c6f6.jpg,0
63,0__1365_jpg.rf.e8f4f455c53061a124f6a0c14e2f28b1.jpg,0
64,0__1371_jpg.rf.0237e4f47f5f6f1ff728bfa7b1c6562b.jpg,0
65,0__1371_jpg.rf.910c8cba4e4591b199e9e10bdfc66016.jpg,0
66,0__1371_jpg.rf.995d79b75683e285ceb3a17cfd7b7ddd.jpg,0
67,0__1371_jpg.rf.cc3f7fd889fb216a346fdf2e036f01c9.jpg,0
68,0__1371_jpg.rf.f65be538438c2ee710fddbc023fb05b7.jpg,0
69,0__1_JMP_RGR_280621SIGN_02JPG_jpg.rf.07cf462729abac7c8b3fe392a4996a8c.jpg,0
70,0__1_JMP_RGR_280621SIGN_02JPG_jpg.rf.2e64315fdc4e52ad2c621a283d11ae00.jpg,0
71,0__1_JMP_RGR_280621SIGN_02JPG_jpg.rf.447ebfe3f7c967003be42cf1fd6ffc2e.jpg,0
72,0__1_JMP_RGR_280621SIGN_02JPG_jpg.rf.5d936fa29bbfbb5dcd0b63e59f7d3bdc.jpg,0
73,0__1_JMP_RGR_280621SIGN_02JPG_jpg.rf.784587a9c8e8b9c6ae60865384be7162.jpg,0
74,0__1_JMP_RGR_280621SIGN_02JPG_jpg.rf.d34179a09a88e42be8fa046d1c890979.jpg,0
75,0__1_JMP_RGR_280621SIGN_02JPG_jpg.rf.d6be1fe48f8e5b083c2f8a904207d3e6.jpg,0
76,0__1_JMP_RGR_280621SIGN_02JPG_jpg.rf.e18b70a0a013b9ba30209554f1064b77.jpg,0
77,0__1_JMP_RGR_280621SIGN_02JPG_jpg.rf.e919d67f120c5843729c91f0b452d324.jpg,0
78,0__1_JMP_RGR_280621SIGN_02JPG_jpg.rf.ff7c022f8fa4d5c51360e1bfa444e4fd.jpg,0
79,0__45495337-5d4c-41f5-a63e-1db7764cb962-large16x9_I40Grafitti2_jpg.rf.023c2207637c96bcbc5779637108b528.jpg,0
80,0__45495337-5d4c-41f5-a63e-1db7764cb962-large16x9_I40Grafitti2_jpg.rf.528aa8c6085c8b5838a865b8bcd17622.jpg,0
81,0__45495337-5d4c-41f5-a63e-1db7764cb962-large16x9_I40Grafitti2_jpg.rf.568971203b1117f6c670abf6b2453c5e.jpg,0
82,0__45495337-5d4c-41f5-a63e-1db7764cb962-large16x9_I40Grafitti2_jpg.rf.62774be8f24eb17979080ee47f3ab84a.jpg,0
83,0__45495337-5d4c-41f5-a63e-1db7764cb962-large16x9_I40Grafitti2_jpg.rf.f88464c520ce8ca39457f9e16c565a77.jpg,0
84,0__45495337-5d4c-41f5-a63e-1db7764cb962-large16x9_I40Grafitti_jpg.rf.05f3e6e0236ad6d7c3f3e61de76f15cd.jpg,0
